city,lat,lng,country
"Kabul, Kābul",34.5253,69.1783,Afghanistan
"Aqchah, Jowzjān",36.9114,66.1858,Afghanistan
Kandahar,31.62,65.7158,Afghanistan
Herat,34.3419,62.2031,Afghanistan
Farah,32.3436,62.1194,Afghanistan
"Mazar-e Sharif, Balkh",36.7,67.1167,Afghanistan
"Lashkar Gah, Helmand",31.5831,64.3692,Afghanistan
Kunduz,36.7286,68.8681,Afghanistan
"Jalalabad, Nangarhār",34.4342,70.4478,Afghanistan
"Taluqan, Takhār",36.7167,69.5167,Afghanistan
"Shibirghan, Jowzjān",36.665,65.752,Afghanistan
"Zaranj, Nīmrōz",30.96,61.86,Afghanistan
Khost,33.3331,69.9169,Afghanistan
"Maimanah, Fāryāb",35.9333,64.75,Afghanistan
"Mehtar Lam, Laghmān",34.6683,70.2089,Afghanistan
Ghazni,33.5492,68.4233,Afghanistan
"Paghman, Kābul",34.5833,68.95,Afghanistan
"Pul-e Khumri, Baghlān",35.95,68.7,Afghanistan
Bamyan,34.825,67.8333,Afghanistan
"Charikar, Parwān",35.0131,69.1689,Afghanistan
Baghlan,36.1328,68.7,Afghanistan
Balkh,36.7581,66.8981,Afghanistan
"Tarin Kot, Uruzgān",32.6267,65.8733,Afghanistan
"Gardez, Paktiyā",33.6,69.2169,Afghanistan
"Bazar-e Yakawlang, Bāmyān",34.7333,66.9667,Afghanistan
"Faizabad, Badakhshān",37.1166,70.58,Afghanistan
"Qal`ah-ye Now, Bādghīs",34.9867,63.1292,Afghanistan
"Ghoriyan, Herāt",34.34,61.47,Afghanistan
Sar-e Pul,36.2214,65.9278,Afghanistan
"Haskah Menah, Nangarhār",34.1,70.4667,Afghanistan
"Mahmud-e Raqi, Kāpīsā",35.0206,69.3306,Afghanistan
"Qalat, Zābul",32.1061,66.9069,Afghanistan
"Andkhoy, Fāryāb",36.95,65.1167,Afghanistan
"Gudarah, Kābul",34.8169,69.0878,Afghanistan
"Aibak, Samangān",36.2653,68.0167,Afghanistan
"Kotah-ye `Ashro, Wardak",34.4492,68.7939,Afghanistan
"Maidan Shahr, Wardak",34.3972,68.8697,Afghanistan
"Bagrami, Kābul",34.4911,69.2756,Afghanistan
"Bala Koh, Balkh",36.5753,66.8203,Afghanistan
"Khulm, Balkh",36.6833,67.6833,Afghanistan
"Khanabad, Kunduz",36.6831,69.1636,Afghanistan
"Hukumati Baghran, Helmand",33.0669,65.0917,Afghanistan
"Bazarak, Panjshir",35.3128,69.5158,Afghanistan
"Sheghnan, Badakhshān",37.6167,71.45,Afghanistan
"Pul-e `Alam, Lōgar",33.9808,69.035,Afghanistan
"Baraki Barak, Lōgar",33.9692,68.9447,Afghanistan
"Sangin, Helmand",32.0733,64.8339,Afghanistan
"Qal`ah-ye Zal, Kunduz",37.015,68.4672,Afghanistan
"Karukh, Herāt",34.4922,62.5922,Afghanistan
"Kushk, Herāt",33.2956,61.9522,Afghanistan
"Asadabad, Kunaṟ",34.8742,71.1528,Afghanistan
"Qarqin, Jowzjān",37.4128,66.0472,Afghanistan
"Islam Qal`ah, Herāt",34.6667,61.0667,Afghanistan
"Zarah Sharan, Paktīkā",33.13,68.78,Afghanistan
"Fayroz Koh, Ghōr",34.5225,65.2517,Afghanistan
"Taywarah, Ghōr",33.51,64.42,Afghanistan
"Baraki, Lōgar",33.9333,68.9167,Afghanistan
"Zarghun Shahr, Paktīkā",32.85,68.4167,Afghanistan
"Imam Sahib, Kunduz",37.1844,68.9144,Afghanistan
"Kuhsan, Herāt",34.65,61.1667,Afghanistan
"Ishkashim, Badakhshān",36.7092,71.5739,Afghanistan
"Hukumati Gizab, Dāykundī",33.3813,66.2655,Afghanistan
"Urgun, Paktīkā",32.9006,69.1569,Afghanistan
"Tujg, Farāh",32.0686,61.8058,Afghanistan
"Panjab, Bāmyān",34.3833,67.0167,Afghanistan
"Mama Khel, Nangarhār",34.25,70.01,Afghanistan
"Deh-e Shu, Helmand",30.4344,63.3183,Afghanistan
"Chichkah, Kunduz",37.0706,69.2983,Afghanistan
"Parun, Nūristān",35.4167,70.9169,Afghanistan
"Sharan, Paktīkā",33.1757,68.7304,Afghanistan
"Nili, Dāykundī",33.7218,66.1302,Afghanistan
"Tirana, Tiranë",41.3272,19.8186,Albania
Durres,41.3133,19.4458,Albania
Vlore,40.45,19.4833,Albania
"Kamez, Tiranë",41.3833,19.7667,Albania
Elbasan,41.1111,20.0806,Albania
Shkoder,42.0681,19.5119,Albania
Fier,40.7167,19.55,Albania
Korce,40.6167,20.7667,Albania
"Sarande, Vlorë",39.877,20,Albania
Berat,40.7049,19.9497,Albania
"Lushnje, Fier",40.9333,19.7,Albania
"Pogradec, Korçë",40.9,20.65,Albania
"Kavaje, Tiranë",41.1842,19.5619,Albania
Gjirokaster,40.0758,20.1389,Albania
"Fushe-Kruje, Durrës",41.4833,19.7167,Albania
"Lac, Lezhë",41.6353,19.7131,Albania
"Sukth, Durrës",41.3833,19.5333,Albania
"Bucimas, Korçë",40.8914,20.6814,Albania
Kukes,42.0833,20.4167,Albania
Lezhe,41.7819,19.6444,Albania
"Patos, Fier",40.6841,19.6194,Albania
"Peshkopi, Dibër",41.6833,20.4281,Albania
"Librazhd-Qender, Elbasan",41.1969,20.3356,Albania
"Kucove, Berat",40.8039,19.9144,Albania
"Kruje, Durrës",41.5108,19.7925,Albania
"Burrel, Dibër",41.6083,20.0111,Albania
"Perondi, Berat",40.7789,19.9231,Albania
"Libonik, Korçë",40.75,20.7167,Albania
"Rreshen, Lezhë",41.7667,19.8833,Albania
"Belsh, Elbasan",40.9833,19.8833,Albania
"Gramsh, Elbasan",40.8667,20.1833,Albania
"Librazhd, Elbasan",41.1833,20.3167,Albania
"Permet, Gjirokastër",40.2333,20.35,Albania
"Bajram Curri, Kukës",42.3583,20.0761,Albania
"Tepelene, Gjirokastër",40.2965,20.0186,Albania
"Corovode, Berat",40.5042,20.2272,Albania
"Erseke, Korçë",40.3333,20.6833,Albania
"Puke, Shkodër",42.05,19.9,Albania
"Algiers, Alger",36.7325,3.0872,Algeria
Oran,35.6969,-0.6331,Algeria
Constantine,36.35,6.6,Algeria
Batna,35.55,6.1667,Algeria
Setif,36.19,5.41,Algeria
Annaba,36.9,7.7667,Algeria
"Sidi Aissa, M’sila",36.5,4.2978,Algeria
Sidi Bel Abbes,35.1939,-0.6414,Algeria
Biskra,34.85,5.7333,Algeria
Tebessa,35.4,8.1167,Algeria
Ouargla,31.95,5.3167,Algeria
"El Khroub, Constantine",36.2667,6.7,Algeria
Tiaret,35.3667,1.3167,Algeria
Bejaia,36.7511,5.0642,Algeria
"Bir el Djir, Oran",35.7367,-0.5542,Algeria
"Bordj Bou Arreridj, Bordj Bou Arréridj",36.0667,4.7667,Algeria
Bechar,31.6167,-2.2167,Algeria
Skikda,36.8667,6.9,Algeria
Djelfa,34.6667,3.25,Algeria
Souk Ahras,36.2864,7.9511,Algeria
Chlef,36.1647,1.3317,Algeria
"El Eulma, Sétif",36.15,5.6833,Algeria
"Bordj el Kiffan, Alger",36.7375,3.1931,Algeria
Mostaganem,35.9333,0.0833,Algeria
Touggourt,33.1,6.0667,Algeria
Medea,36.2675,2.75,Algeria
Tizi Ouzou,36.7167,4.05,Algeria
El Oued,33.3611,6.8606,Algeria
Laghouat,33.8028,2.875,Algeria
M'Sila,35.7019,4.5472,Algeria
Jijel,36.8167,5.75,Algeria
Relizane,35.7333,0.55,Algeria
Saida,34.8333,0.15,Algeria
"Baraki, Tipaza",36.6667,3.1,Algeria
Guelma,36.45,7.4333,Algeria
Ghardaia,32.4833,3.6667,Algeria
"Berrouaghia, Médéa",36.1333,2.9167,Algeria
"Ain Beida, Oum el Bouaghi",35.7833,7.3833,Algeria
"Maghnia, Tlemcen",34.8617,-1.7306,Algeria
"Bou Saada, Tizi Ouzou",36.7524,4.5833,Algeria
Mascara,35.4,0.1333,Algeria
Khenchela,35.4167,7.1333,Algeria
"Barika, Batna",35.3972,5.3658,Algeria
"Messaad, Djelfa",34.1667,3.5,Algeria
"Aflou, Laghouat",34.1089,2.1019,Algeria
"Ain Oussera, Djelfa",35.4489,2.9044,Algeria
Blida,36.4686,2.8319,Algeria
"Es Senia, Oran",35.65,-0.6333,Algeria
"Bab Ezzouar, Alger",36.7217,3.1853,Algeria
Tamanrasset,22.7889,5.5256,Algeria
"Arzew, Oran",35.85,-0.3167,Algeria
"Ain M'Lila, Oum el Bouaghi",36.0361,6.5708,Algeria
"Hassi Bahbah, Djelfa",35.0667,3.0333,Algeria
El Bayadh,33.6803,1.0203,Algeria
"Mohammadia, Mascara",35.5833,0.0667,Algeria
"Khemis Miliana, Aïn Defla",36.2667,2.2167,Algeria
"El Milia, Jijel",36.75,6.2667,Algeria
"Hamma Bouziane, Constantine",36.5333,6.7167,Algeria
"Chelghoum el Aid, Mila",36.1667,6.1667,Algeria
"Dar el Beida, Alger",36.7142,3.2125,Algeria
Oum el Bouaghi,35.8775,7.1136,Algeria
"Sougueur, Tiaret",35.1833,1.5,Algeria
"Taher, Jijel",36.7719,5.8983,Algeria
"Birkhadem, Alger",36.7167,3.05,Algeria
"Bir el Ater, Tébessa",34.7497,8.0578,Algeria
"Khemis el Khechna, Boumerdes",36.65,3.3306,Algeria
"Merouana, Batna",35.6333,5.9167,Algeria
Ain Temouchent,35.3,-1.1333,Algeria
"Cheria, Tébessa",35.2667,7.75,Algeria
Tissemsilt,35.6078,1.8111,Algeria
"Ain Oulmene, Sétif",35.9167,5.3,Algeria
Tlemcen,34.8828,-1.3167,Algeria
"Sig, Mascara",35.5278,-0.1861,Algeria
Mila,36.4503,6.2644,Algeria
